campaign_schema_version,campaign_id,run_timestamp_utc,map_id,generator_type,method,status,policy_skip_detail,num_vertices,num_edges,pair_seed,pair_list_hash,query_count,warmup_queries,correctness_check_count,preprocess_ns,estimated_index_bytes,peak_preprocess_rss_bytes,query_count_timed,query_mean_ns,query_median_ns,query_p95_ns,query_min_ns,query_max_ns,queries_per_second,total_benchmark_ns,speedup_vs_bfs,total_speedup_vs_bfs,correctness_checks,correctness_mismatches,correctness_failed,warshall_matrix_order,kleene_parallel,kleene_thread_count,config_id,brick_tile_width,brick_tile_height,max_memory_bytes,hbrick_group_width,hbrick_group_height,hbrick_max_depth,closure_early_stop,map_class,passable_cells,num_sccs,kleene_rounds_scheduled,kleene_rounds_effective,timer_source
2,run01,2026-06-29T22:55:57Z,proc_w5h5_c1_o1_open2_random_asymmetric_i0,procedural_maze,CsrBfs,Completed,,121,24,13238609,12438237472407304438,64,8,16,0,0,4489216,64,76.5312,70,111,64,120,1.30666e+07,6560,1,1,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,cyclic_maze,50,116,0,0,steady_clock
2,run01,2026-06-29T22:55:57Z,proc_w5h5_c1_o1_open2_random_asymmetric_i0,procedural_maze,BrickSearch,Completed,,121,24,13238609,12438237472407304438,64,8,16,102349,7140,4489216,64,235.891,34,159,22,11456,4.23925e+06,123287,0.324435,0.0532092,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,cyclic_maze,50,116,0,0,steady_clock
2,run01,2026-06-29T22:55:57Z,proc_w5h5_c1_o1_open2_random_asymmetric_i0,procedural_maze,BrickClosure,Completed,,121,24,13238609,12438237472407304438,64,8,16,122756,7644,4489216,64,59.5781,32,193,21,209,1.67847e+07,128047,1.28455,0.0512312,16,0,false,31,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,cyclic_maze,50,116,2,0,steady_clock
2,run01,2026-06-29T22:55:57Z,proc_w5h5_c1_o1_open2_random_asymmetric_i0,procedural_maze,HBrick,Completed,,121,24,13238609,12438237472407304438,64,8,16,227969,5324,4489216,64,158.875,28,1001,26,1590,6.29426e+06,242497,0.481707,0.0270519,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,cyclic_maze,50,116,0,0,steady_clock
2,run01,2026-06-29T22:55:57Z,proc_w5h5_c1_o1_open2_random_asymmetric_i1,procedural_maze,CsrBfs,Completed,,121,24,13238609,12438237472407304438,64,8,16,0,0,4562944,64,79.2031,92,148,32,193,1.26258e+07,6906,1,1,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,cyclic_maze,50,116,0,0,steady_clock
2,run01,2026-06-29T22:55:57Z,proc_w5h5_c1_o1_open2_random_asymmetric_i1,procedural_maze,BrickSearch,Completed,,121,24,13238609,12438237472407304438,64,8,16,111374,7140,4562944,64,63.6719,40,201,24,251,1.57055e+07,117375,1.24393,0.0588371,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,cyclic_maze,50,116,0,0,steady_clock
2,run01,2026-06-29T22:55:57Z,proc_w5h5_c1_o1_open2_random_asymmetric_i1,procedural_maze,BrickClosure,Completed,,121,24,13238609,12438237472407304438,64,8,16,135612,7644,4562944,64,77.7188,40,219,26,570,1.28669e+07,142247,1.0191,0.0485494,16,0,false,31,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,cyclic_maze,50,116,2,0,steady_clock
2,run01,2026-06-29T22:55:57Z,proc_w5h5_c1_o1_open2_random_asymmetric_i1,procedural_maze,HBrick,Completed,,121,24,13238609,12438237472407304438,64,8,16,335753,5324,4562944,64,285.094,53,1776,34,2642,3.50762e+06,361360,0.277814,0.0191111,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,cyclic_maze,50,116,0,0,steady_clock
2,run01,2026-06-30T21:23:41Z,proc_w5h5_c1_o1_open2_random_asymmetric_i0,procedural_maze,CsrBfs,Completed,,121,24,13238609,7591573326690181237,256,16,32,0,0,4464640,256,295.062,113,195,46,46375,3.38911e+06,79879,1,1,32,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,cyclic_maze,50,116,0,0,steady_clock
2,run01,2026-06-30T21:23:41Z,proc_w5h5_c1_o1_open2_random_asymmetric_i0,procedural_maze,CsrDfs,Completed,,121,24,13238609,7591573326690181237,256,16,32,0,0,4464640,256,122.477,114,186,96,230,8.16483e+06,35319,2.40913,2.26164,32,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,cyclic_maze,50,116,0,0,steady_clock
