campaign_schema_version,campaign_id,run_timestamp_utc,map_id,generator_type,method,status,policy_skip_detail,num_vertices,num_edges,pair_seed,pair_list_hash,query_count,warmup_queries,correctness_check_count,preprocess_ns,estimated_index_bytes,peak_preprocess_rss_bytes,query_count_timed,query_mean_ns,query_median_ns,query_p95_ns,query_min_ns,query_max_ns,queries_per_second,total_benchmark_ns,speedup_vs_bfs,total_speedup_vs_bfs,correctness_checks,correctness_mismatches,correctness_failed,warshall_matrix_order,kleene_parallel,kleene_thread_count,config_id,brick_tile_width,brick_tile_height,max_memory_bytes,hbrick_group_width,hbrick_group_height,hbrick_max_depth,closure_early_stop,map_class,passable_cells,num_sccs,kleene_rounds_scheduled,kleene_rounds_effective,timer_source
2,smoke,2026-06-29T22:55:19Z,smoke_8x8_random_asymmetric,smoke_grid,CsrBfs,Completed,,64,67,13238609,18378166200417706086,64,8,16,0,0,4550656,64,102.359,90,176,57,212,9.7695e+06,8357,1,1,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,smoke_grid,0,0,0,0,steady_clock
2,smoke,2026-06-29T22:55:19Z,smoke_8x8_random_asymmetric,smoke_grid,BrickSearch,Completed,,64,67,13238609,18378166200417706086,64,8,16,85297,6636,4550656,64,118.953,107,199,27,355,8.40667e+06,94768,0.860502,0.0881838,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,smoke_grid,0,0,0,0,steady_clock
2,smoke,2026-06-29T22:55:19Z,smoke_8x8_random_asymmetric,smoke_grid,BrickClosure,Completed,,64,67,13238609,18378166200417706086,64,8,16,102905,7412,4550656,64,135.578,138,191,22,202,7.37582e+06,113306,0.754984,0.073756,16,0,false,48,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,smoke_grid,0,0,3,0,steady_clock
2,smoke,2026-06-29T22:55:19Z,smoke_8x8_random_asymmetric,smoke_grid,HBrick,Completed,,64,67,13238609,18378166200417706086,64,8,16,212381,5884,4550656,64,1217.92,1289,2179,25,2414,821071,305262,0.0840443,0.0273765,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,smoke_grid,0,0,0,0,steady_clock
